Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Bublys Photography llc,OPERATIONAL,"329 West 18th Street #705, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.8575191,-87.63626889999999
Nepal House,OPERATIONAL,"1301 South Michigan Avenue, Chicago",2,4.5,1739,"['meal_delivery', 'meal_takeaway', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",41.8656858,-87.6239061
Moon Palace Express,OPERATIONAL,"216 West Cermak Road, Chicago",2,4.2,326,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8531761,-87.6325439
Linkup Collective,OPERATIONAL,"1503 South Michigan Avenue, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.8619115,-87.62357340000001
New! Spacious 3BR Apartment near McCormick Place,OPERATIONAL,"1935 South Wabash Avenue, Chicago",Price information not available,No rating,No ratings,"['lodging', 'point_of_interest', 'establishment']",41.855584,-87.625262
Walgreens,OPERATIONAL,"316 West Cermak Road, Chicago",2,2.7,159,"['drugstore', 'convenience_store', 'clothing_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",41.8533845,-87.6357501
Alltown Electric Inc | Local Electrician | Electrician,OPERATIONAL,"1717 South Prairie Avenue, Chicago",Price information not available,4.4,14,"['electrician', 'point_of_interest', 'establishment']",41.858496,-87.61992099999999
Old St Mary's Catholic Church,OPERATIONAL,"1500 South Michigan Avenue, Chicago",Price information not available,4.7,31,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",41.8611426,-87.6242102
Telx Chicago Lakeside LLC,OPERATIONAL,"350 East Cermak Road, Chicago",Price information not available,5,1,"['point_of_interest', 'establishment']",41.8541134,-87.61856999999999
Metropolitan Veterinary Center,OPERATIONAL,"1556 South Michigan Avenue Ste.100, Chicago",Price information not available,4.5,384,"['pharmacy', 'veterinary_care', 'store', 'health', 'point_of_interest', 'establishment']",41.86041790000001,-87.62434119999999
Tata Communication,OPERATIONAL,"350 East Cermak Road, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.85416740000001,-87.61853099999999
Promotional 12 Inc,OPERATIONAL,"1255 South Michigan Avenue #1108, Chicago",Price information not available,5,53,"['point_of_interest', 'establishment']",41.8660621,-87.6235358
Three Happiness Restaurant,OPERATIONAL,"209 West Cermak Road, Chicago",1,3.9,1307,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8526308,-87.632446
Fresenius Kidney Care Prairie,OPERATIONAL,"1717 South Wabash Avenue, Chicago",Price information not available,3,4,"['health', 'point_of_interest', 'establishment']",41.8586324,-87.62523379999999
Imperial Restaurant,OPERATIONAL,"2100 South Archer Avenue, Chicago",2,4,1230,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8545544,-87.6322747
Sadies Transportation Services Inc,OPERATIONAL,"2001 South Michigan Avenue, Chicago",Price information not available,3,4,"['point_of_interest', 'establishment']",41.85514149999999,-87.62317449999999
Chicago Oyster House,OPERATIONAL,"1933 South Indiana Avenue, Chicago",2,4.3,676,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.855733,-87.621991
B T America,OPERATIONAL,"350 East Cermak Road, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.8538954,-87.618449
RGB Hill | Chicago Video Production Company,OPERATIONAL,"1845 South Michigan Avenue, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.85654400000001,-87.623548
Thomas Campone Photography,OPERATIONAL,"South Indiana Avenue, Chicago",Price information not available,No rating,No ratings,"['point_of_interest', 'establishment']",41.858496,-87.6199209
