,Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
15,Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6554776,-87.67001499999999
16,Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6558018,-87.67046619999999
17,El Ranchito Market Inc,OPERATIONAL,"12742 Western Avenue, Blue Island",Price information not available,3.7,168,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.661493,-87.6804258
18,ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6568619,-87.6592952
19,Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6554776,-87.67001499999999
20,Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6558018,-87.67046619999999
21,ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'point_of_interest', 'grocery_or_supermarket', 'store', 'food', 'establishment']",41.6568619,-87.6592952
22,Jewel-Osco,OPERATIONAL,"9652 West 131st Street, Palos Park",2,4,515,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6535316,-87.85628690000001
23,Jewel-Osco,OPERATIONAL,"12803 South Harlem Avenue, Palos Heights",2,4.1,1022,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.6590691,-87.794681
24,Jewel-Osco,OPERATIONAL,"12803 South Harlem Avenue, Palos Heights",2,4.1,1022,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.6590691,-87.794681
25,Target Grocery,OPERATIONAL,"5071 Cal Sag Road, Crestwood",Price information not available,4.8,10,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568608,-87.7464798
26,ALDI,OPERATIONAL,"4820 Cal Sag Road, Crestwood",1,4.5,929,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6548759,-87.7401039
27,bp,OPERATIONAL,"12230 South Cicero Avenue, Alsip",Price information not available,3.4,25,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.67034170000001,-87.7393209
28,El Ranchito Market Inc,OPERATIONAL,"12742 Western Avenue, Blue Island",Price information not available,3.7,168,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.661493,-87.6804258
29,Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6554776,-87.67001499999999
30,El Ranchito Market Inc,OPERATIONAL,"12742 Western Avenue, Blue Island",Price information not available,3.7,168,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.661493,-87.6804258
31,Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6558018,-87.67046619999999
32,ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568619,-87.6592952
33,Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6554776,-87.67001499999999
34,Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6558018,-87.67046619999999
35,ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568619,-87.6592952
36,Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
37,Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
38,bp,OPERATIONAL,"12230 South Cicero Avenue, Alsip",Price information not available,3.4,25,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67034170000001,-87.7393209
39,bp,OPERATIONAL,"12230 South Cicero Avenue, Alsip",Price information not available,3.4,25,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67034170000001,-87.7393209
40,ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6735389,-87.72064809999999
41,Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
42,ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6735389,-87.72064809999999
43,Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.67400809999999,-87.7178526
44,ALDI,OPERATIONAL,"12215 Western Avenue, Blue Island",1,4.5,1067,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6711189,-87.6797899
45,ALDI,OPERATIONAL,"12215 Western Avenue, Blue Island",1,4.5,1067,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6711189,-87.6797899
46,Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6802451,-87.6645535
47,bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6893,-87.80999
48,Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
49,Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
50,ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6877371,-87.7402238
51,ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6735389,-87.72064809999999
52,Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
53,Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
54,Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.683027,-87.70230939999999
55,Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.683027,-87.70230939999999
56,Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.6802451,-87.6645535
57,Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.6802451,-87.6645535
58,Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
59,Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
60,Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.682144,-87.53875099999999
61,Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.682144,-87.53875099999999
62,bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6893,-87.80999
63,bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6893,-87.80999
64,bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69809,-87.79729999999999
65,Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'supermarket', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.69088410000001,-87.7854594
66,Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69756479999999,-87.7971469
67,Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69088410000001,-87.7854594
68,ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6877371,-87.7402238
69,ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6877371,-87.7402238
70,Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.683027,-87.70230939999999
71,Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6915627,-87.68031669999999
72,County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6968303,-87.6816877
73,Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6915627,-87.68031669999999
74,County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6968303,-87.6816877
75,bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.690209,-87.6642091
76,bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.690209,-87.6642091
77,Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
78,Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6840881,-87.6204873
79,Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.682144,-87.53875099999999
80,Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.682144,-87.53875099999999
81,Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70475319999999,-87.8177022
82,bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69809,-87.79729999999999
83,Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69900870000001,-87.7974017
84,Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69756479999999,-87.7971469
85,bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69809,-87.79729999999999
86,Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'grocery_or_supermarket', 'bar', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",41.70528909999999,-87.8000798
87,Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69900870000001,-87.7974017
88,Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69756479999999,-87.7971469
89,Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69088410000001,-87.7854594
90,Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
91,Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.706863,-87.6998763
92,County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6968303,-87.6816877
93,bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70608499999999,-87.6820142
94,County Fair Foods,OPERATIONAL,"10800 South Western Avenue, Chicago",Price information not available,4.5,995,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6968303,-87.6816877
95,Fairplay Foods,OPERATIONAL,"2323 West 111th Street, Chicago",Price information not available,4.1,648,"['supermarket', 'bakery', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6915627,-87.68031669999999
96,bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70608499999999,-87.6820142
97,bp,OPERATIONAL,"11163 South Vincennes Avenue, Chicago",Price information not available,3.4,15,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.690209,-87.6642091
98,Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.70264899999999,-87.5597805
99,Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70264899999999,-87.5597805
100,La Cienega Super Food Inc,OPERATIONAL,"10736 South Ewing Avenue, Chicago",Price information not available,4.2,745,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.6998016,-87.535467
101,ALDI,OPERATIONAL,"10532 South Indianapolis Avenue, Chicago",1,4.4,899,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7034698,-87.5257601
102,La Cienega Super Food Inc,OPERATIONAL,"10736 South Ewing Avenue, Chicago",Price information not available,4.2,745,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6998016,-87.535467
103,Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70475319999999,-87.8177022
104,Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'grocery_or_supermarket', 'bar', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",41.70528909999999,-87.8000798
105,Shu Fee Ma Fee,OPERATIONAL,"10240 South Roberts Road, Palos Hills",Price information not available,4.6,72,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70475319999999,-87.8177022
106,Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4906,"['supermarket', 'cafe', 'grocery_or_supermarket', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",41.70528909999999,-87.8000798
107,Amoco,OPERATIONAL,"10559 South Harlem Avenue, Chicago Ridge",Price information not available,2,1,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.69900870000001,-87.7974017
108,ALDI,OPERATIONAL,"9640 Ridgeland Avenue, Chicago Ridge",1,4.3,524,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.71624,-87.782403
109,Thamar Supermarketاحسن تعامل,OPERATIONAL,"9920 Southwest Highway, Oak Lawn",Price information not available,4.9,44,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.7117025,-87.77788369999999
110,Thamar Supermarketاحسن تعامل,OPERATIONAL,"9920 Southwest Highway, Oak Lawn",Price information not available,4.9,44,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.7117025,-87.77788369999999
111,Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
112,Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.70662979999999,-87.7373411
113,Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.706863,-87.6998763
114,bp,OPERATIONAL,"9802 South Kedzie Avenue, Evergreen Park",Price information not available,4.9,11,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7150309,-87.7020149
115,Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,821,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.706863,-87.6998763
116,bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.70608499999999,-87.6820142
117,bp,OPERATIONAL,"10300 South Western Avenue, Chicago",Price information not available,3.4,8,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70608499999999,-87.6820142
118,bp,OPERATIONAL,"9900 South Halsted Street, Chicago",Price information not available,3.8,23,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7138826,-87.6433352
119,Family Dollar,OPERATIONAL,"66 East 103rd Street Ste 90, Chicago",1,3.5,115,"['supermarket', 'grocery_or_supermarket', 'clothing_store', 'food', 'point_of_interest', 'store', 'establishment']",41.7078424,-87.6206918
120,Family Dollar,OPERATIONAL,"66 East 103rd Street Ste 90, Chicago",1,3.5,115,"['clothing_store', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.7078424,-87.6206918
121,Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.70264899999999,-87.5597805
122,Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.70264899999999,-87.5597805
123,El Tapatio,OPERATIONAL,"10300 South Ewing Avenue, Chicago",Price information not available,4.4,166,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.7081296,-87.53544749999999
