Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Express Mart,OPERATIONAL,"11058 South Wentworth Avenue, Chicago",Price information not available,4.5,21,['convenience_store'],41.6927353,-87.6283076
Walmart Supercenter,OPERATIONAL,"10900 South Doty Avenue, Chicago",1,3.9,6572,['grocery_or_supermarket'],41.69676690000001,-87.5991962
Shell,OPERATIONAL,"11100 South Corliss Avenue, Chicago",2,3,62,['convenience_store'],41.69262,-87.6012903
Walmart,OPERATIONAL,"10260 South Harlem Avenue, Bridgeview",1,3.7,5585,['grocery_or_supermarket'],41.7063864,-87.8006164
Circle K,OPERATIONAL,"10631 Southwest Highway, Worth",1,2.6,8,['convenience_store'],41.69836370000001,-87.796678
bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['supermarket', 'grocery_or_supermarket']",41.69809,-87.79729999999999
Shell,OPERATIONAL,"10300 South Harlem Avenue, Palos Hills",2,3.6,59,['convenience_store'],41.70409109999999,-87.79836350000001
7-Eleven,OPERATIONAL,"10220 South Central Avenue, Oak Lawn",1,3.4,30,['convenience_store'],41.7063107,-87.7603797
Shell,OPERATIONAL,"10601 South Cicero Avenue, Oak Lawn",2,3.3,51,['convenience_store'],41.6995245,-87.7396531
CVS,OPERATIONAL,"3951 West 103rd Street, Chicago",Price information not available,2.6,115,"['drugstore', 'convenience_store']",41.7053701,-87.72026319999999
Walgreens,OPERATIONAL,"2345 West 103rd Street, Chicago",2,3,46,"['drugstore', 'convenience_store']",41.70613900000001,-87.68077029999999
Maple Morgan Park Food Pantry,OPERATIONAL,"11030 South Longwood Drive, Chicago",Price information not available,4.7,24,['grocery_or_supermarket'],41.6934547,-87.67205039999999
Gallery Food,OPERATIONAL,"10701 South Wentworth Avenue, Chicago",Price information not available,4.1,22,['grocery_or_supermarket'],41.6997042,-87.6279509
Hook's Finer Foods,OPERATIONAL,"2501 East 106th Street, Chicago",Price information not available,5,2,['convenience_store'],41.702499,-87.5630524
Corner Mart,OPERATIONAL,"2501 East 106th Street, Chicago",Price information not available,3,3,['convenience_store'],41.702572,-87.56307199999999
Torrance Food Mart,OPERATIONAL,"10600 South Torrence Avenue, Chicago",Price information not available,4,51,"['supermarket', 'grocery_or_supermarket']",41.70264899999999,-87.5597805
La Cienega Super Food Inc,OPERATIONAL,"10736 South Ewing Avenue, Chicago",Price information not available,4.2,744,"['grocery_or_supermarket', 'supermarket']",41.6998016,-87.535467
ALDI,OPERATIONAL,"10532 South Indianapolis Avenue, Chicago",1,4.4,899,"['supermarket', 'grocery_or_supermarket']",41.7034698,-87.5257601
New Open Pantry,OPERATIONAL,"8652 West 103rd Street, Palos Hills",Price information not available,4,10,['convenience_store'],41.7040197,-87.834097
Pete's Fresh Market #11 - Bridgeview,OPERATIONAL,"10280 South Harlem Avenue, Bridgeview",Price information not available,4.5,4903,"['supermarket', 'grocery_or_supermarket']",41.70528909999999,-87.8000798
Socotra Halal Market,OPERATIONAL,"10327 Central Avenue, Oak Lawn",Price information not available,4.9,29,['grocery_or_supermarket'],41.70425820000001,-87.7594044
Jewel-Osco,OPERATIONAL,"4650 West 103rd Street, Oak Lawn",2,4.1,1209,"['grocery_or_supermarket', 'supermarket']",41.70662979999999,-87.7373411
7-Eleven,OPERATIONAL,"10301 South Sawyer Avenue, Chicago",1,2.8,16,['convenience_store'],41.7058316,-87.70228929999999
Shell,OPERATIONAL,"10258 South Kedzie Avenue, Evergreen Park",2,3.5,44,['convenience_store'],41.706444,-87.7017453
Jewel-Osco,OPERATIONAL,"3128 West 103rd Street, Chicago",2,4.1,820,"['grocery_or_supermarket', 'supermarket']",41.706863,-87.6998763
7-Eleven,OPERATIONAL,"2421 West 103rd Street, Chicago",1,3.3,30,['convenience_store'],41.7060638,-87.6826602
bp,OPERATIONAL,"9900 South Halsted Street, Chicago",Price information not available,3.8,23,"['supermarket', 'grocery_or_supermarket']",41.7138826,-87.6433352
Dollar General,OPERATIONAL,"316 West 103rd Street, Chicago",1,4,345,"['convenience_store', 'drugstore', 'grocery_or_supermarket']",41.70732719999999,-87.631658
Family Dollar,OPERATIONAL,"66 East 103rd Street Ste 90, Chicago",1,3.5,115,"['supermarket', 'grocery_or_supermarket']",41.7078424,-87.6206918
Citgo Food Mart Gas Station,OPERATIONAL,"721 East 103rd Street, Chicago",Price information not available,3.2,9,['convenience_store'],41.7071057,-87.6053884
London Town Food,OPERATIONAL,"702 East 100th Place, Chicago",Price information not available,4.6,5,['grocery_or_supermarket'],41.71245039999999,-87.6052174
La Flor Grocery Store,OPERATIONAL,"10500 South Avenue M, Chicago",Price information not available,4.4,225,['grocery_or_supermarket'],41.7044579,-87.53784689999999
Walgreens,OPERATIONAL,"10s370 Kingery Highway, Willowbrook",2,3.2,44,"['drugstore', 'convenience_store']",41.7237902,-87.9448512
Five Star Pantry,OPERATIONAL,"10S620 Kingery Highway, Willowbrook",Price information not available,4.4,26,['convenience_store'],41.7190465,-87.94563219999999
Walgreens,OPERATIONAL,"8800 West 95th Street, Hickory Hills",2,3.7,49,"['drugstore', 'convenience_store']",41.718584,-87.837864
Fairplay Foods,OPERATIONAL,"8631 West 95th Street, Hickory Hills",Price information not available,4.3,992,"['grocery_or_supermarket', 'supermarket']",41.7171941,-87.8341524
Walgreens,OPERATIONAL,"7945 West 95th Street, Hickory Hills",2,2.9,160,"['drugstore', 'convenience_store']",41.7179076,-87.8172187
bp,OPERATIONAL,"7933 West 95th Street, Hickory Hills",Price information not available,3.1,42,['convenience_store'],41.71820869999999,-87.8161375
Jewel-Osco Pharmacy,OPERATIONAL,"9534 South Roberts Road, Hickory Hills",2,4.1,25,['drugstore'],41.7173921,-87.8203516
Walgreens,OPERATIONAL,"4740 West 95th Street, Oak Lawn",2,2.3,335,"['drugstore', 'convenience_store']",41.7206669,-87.7402639
Pete's Fresh Market #8 - Evergreen Park,OPERATIONAL,"3720 95th Street, Evergreen Park",2,4.4,4988,"['supermarket', 'grocery_or_supermarket']",41.7210326,-87.7146818
Jewel-Osco Pharmacy,OPERATIONAL,"9424 South Pulaski Road, Oak Lawn",2,3.1,15,['drugstore'],41.72111040000001,-87.7221485
