Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Chicago Children's Museum,OPERATIONAL,"700 East Grand Avenue, Chicago",3,4.6,6428,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",41.891408,-87.60914400000001
Wendella Tours & Cruises,OPERATIONAL,"400 North Michigan Avenue, Chicago",Price information not available,4.7,9141,"['travel_agency', 'point_of_interest', 'establishment']",41.8892107,-87.6244245
D4 Irish Pub & Cafe,OPERATIONAL,"Entrance on, 345 East Ohio Street, East Grand Avenue, Chicago",2,4.4,2035,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8921031,-87.6191022
JLL,OPERATIONAL,"200 East Randolph Street Floor 43-48, Chicago",Price information not available,3.2,21,"['real_estate_agency', 'point_of_interest', 'establishment']",41.88515870000001,-87.6215361
Walgreens,OPERATIONAL,"342 East Illinois Street, Chicago",2,3,74,"['drugstore', 'convenience_store', 'clothing_store', 'store', 'food', 'point_of_interest', 'health', 'establishment']",41.8912291,-87.6182766
Chicago Shakespeare Theater,OPERATIONAL,"800 East Grand Avenue, Chicago",Price information not available,4.8,1273,"['point_of_interest', 'establishment']",41.8913913,-87.6054344
Northwestern University Chicago,OPERATIONAL,"300 East Superior Street, Chicago",Price information not available,4.5,15,"['university', 'point_of_interest', 'school', 'establishment']",41.8961511,-87.62001529999999
Michael Jordan's Steak House Chicago,OPERATIONAL,"505 North Michigan Avenue, Chicago",4,4.4,3124,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8911722,-87.623875
Gleacher Center,OPERATIONAL,"450 Cityfront Plaza Drive, Chicago",Price information not available,4.7,513,"['point_of_interest', 'establishment']",41.88971220000001,-87.6222842
Indian Garden Restaurant,OPERATIONAL,"247 East Ontario Street, Chicago",2,4,3318,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.893212,-87.62080999999999
Niu Japanese Fusion Lounge,OPERATIONAL,"332 East Illinois Street, Chicago",2,4.4,1745,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.891168,-87.618685
Marcus Evans Ltd,OPERATIONAL,"455 North Cityfront Plaza Drive #9, Chicago",Price information not available,3.5,11,"['point_of_interest', 'establishment']",41.8899177,-87.6213739
Comedians You Should Know (CYSK),OPERATIONAL,"622 North Fairbanks Court, Chicago",Price information not available,4.9,36,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.89327049999999,-87.62042009999999
The Capital Grille,OPERATIONAL,"633 North Saint Clair Street, Chicago",4,4.7,1869,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.893506,-87.622498
420 East Ohio,OPERATIONAL,"420 East Ohio Street, Chicago",Price information not available,4,75,"['real_estate_agency', 'point_of_interest', 'establishment']",41.89286449999999,-87.61651669999999
Gyu-Kaku Japanese BBQ,OPERATIONAL,"210 East Ohio Street, Chicago",2,4.5,3664,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.89277779999999,-87.6222222
Corporate Suites Network,OPERATIONAL,"233 East Wacker Drive, Chicago",Price information not available,5,1,"['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",41.8876335,-87.6211974
Gireesan Giri T MD,OPERATIONAL,"676 N. Saint Clair, Arkes 1777, Chicago",Price information not available,No rating,No ratings,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8925085,-87.61616959999999
"Jay M. Pensler, MD",CLOSED_TEMPORARILY,"680 North Lake Shore Drive #1125, Chicago",Price information not available,3.9,36,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8946699,-87.616715
sue's hallmark,OPERATIONAL,"225 North Michigan Avenue C142, Chicago",2,3.1,35,"['store', 'point_of_interest', 'establishment']",41.8867736,-87.6231298
"Kiran Nimmagadda, MD",OPERATIONAL,"Lavin Family Pavilion, 259 East Erie Street Ste 2250, Chicago",Price information not available,4.3,4,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8940911,-87.6206417
"Adam W. Bennett, MD",OPERATIONAL,"680 North Lake Shore Drive, Chicago",Price information not available,2.7,10,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8948152,-87.6160728
AMC DINE-IN 600 North Michigan 9,OPERATIONAL,"600 North Michigan Avenue, Chicago",Price information not available,4.4,3398,"['movie_theater', 'point_of_interest', 'establishment']",41.89295659999999,-87.625095
Chicago Architecture Center,OPERATIONAL,"111 East Wacker Drive, Chicago",2,4.7,1873,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",41.8880144,-87.62354739999999
