Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Palos South Middle School,OPERATIONAL,"13100 South 82nd Avenue, Palos Park",Price information not available,4.1,11,"['school', 'point_of_interest', 'establishment']",41.65097489999999,-87.82081579999999
St John Fisher School,OPERATIONAL,"8770 Butterfield Lane, Orland Park",Price information not available,No rating,No ratings,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6488597,-87.8336887
Palos South Middle School,OPERATIONAL,"13100 South 82nd Avenue, Palos Park",Price information not available,4.1,11,"['school', 'point_of_interest', 'establishment']",41.65097489999999,-87.82081579999999
Palos East Elementary School,OPERATIONAL,"7700 West 127th Street, Palos Heights",Price information not available,4.8,5,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6614236,-87.8081502
Jan Karski Polish School,OPERATIONAL,"7025 West 126th Street, Palos Heights",Price information not available,5,1,"['school', 'point_of_interest', 'establishment']",41.6622756,-87.7947678
Westgate Music School,OPERATIONAL,"6527 West 127th Street, Palos Heights",Price information not available,5,32,"['school', 'point_of_interest', 'store', 'establishment']",41.6603887,-87.78064169999999
Independence Junior High School,OPERATIONAL,"6610 West Highland Drive, Palos Heights",Price information not available,3.9,7,"['school', 'point_of_interest', 'establishment']",41.65838859999999,-87.7828955
Shepard High School,OPERATIONAL,"13049 South Ridgeland Avenue, Palos Heights",Price information not available,4.6,23,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6550845,-87.7757889
Sandbox School Palos Heights,OPERATIONAL,"12832 South Ridgeland Avenue, Palos Heights",Price information not available,5,6,"['school', 'point_of_interest', 'establishment']",41.6582499,-87.777884
Indian Hill Early Learning Center,OPERATIONAL,"12800 South Austin Avenue, Palos Heights",Price information not available,5,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6583782,-87.7687229
Shepard High School,OPERATIONAL,"13049 South Ridgeland Avenue, Palos Heights",Price information not available,4.6,23,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6550845,-87.7757889
Sandbox School Palos Heights,OPERATIONAL,"12832 South Ridgeland Avenue, Palos Heights",Price information not available,5,6,"['school', 'point_of_interest', 'establishment']",41.6582499,-87.777884
Elim Christian Services,OPERATIONAL,"13020 Central Avenue, Crestwood",Price information not available,4.1,18,"['school', 'point_of_interest', 'establishment']",41.655166,-87.758338
Southwest Ice Arena,OPERATIONAL,"5505 West 127th Street, Crestwood",Price information not available,4.1,74,"['school', 'health', 'point_of_interest', 'establishment']",41.6601899,-87.75533449999999
