Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.683027,-87.70230939999999
Jewel-Osco,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,965,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.683027,-87.70230939999999
Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'florist', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.6802451,-87.6645535
Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.6802451,-87.6645535
Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
Manny's Groceries,OPERATIONAL,"11543 South Michigan Avenue, Chicago",Price information not available,3,1,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6840881,-87.6204873
Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.682144,-87.53875099999999
Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2291,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.682144,-87.53875099999999
bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6893,-87.80999
bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6893,-87.80999
bp,OPERATIONAL,"10631 Southwest Highway, Worth",Price information not available,3.6,87,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69809,-87.79729999999999
Fairplay Foods,OPERATIONAL,"6620 West 111th Street, Worth",Price information not available,4.2,1206,"['grocery_or_supermarket', 'supermarket', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.69088410000001,-87.7854594
Alamal Supermarket,OPERATIONAL,"10607 South Harlem Avenue E, Worth",Price information not available,4.5,48,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.69756479999999,-87.7971469
