Dunkin', OPERATIONAL, 7020 Ogden Avenue, Berwyn, 1, 3.5, 617, 41.8249901, -87.79829640000001
Best Buy Chinese Kitchen Latin Sushi, OPERATIONAL, 5116 West Cermak Road, Cicero, 2, 3.8, 227, 41.8516225, -87.7523063
Jiang Niu BBQ House Chinatown, OPERATIONAL, 2300 South Archer Avenue, Chicago, 2, 4.2, 577, 41.8510753, -87.6388411
The Aberdeen Tap, OPERATIONAL, 440 North Aberdeen Street 2nd Floor, Chicago, 2, 4.6, 940, 41.8901494, -87.6550042
McDonald's, OPERATIONAL, 2754 North Narragansett Avenue, Chicago, 1, 3.6, 1367, 41.9306225, -87.78620579999999
Sandunga Bar & Grill, OPERATIONAL, 2619 West Lawrence Avenue, Chicago, 2, 4.1, 391, 41.9683461, -87.6946442
Moretti's Ristorante & Pizzeria Bedford Park, OPERATIONAL, 6500 South Central Avenue, Bedford Park, 2, 4.1, 185, 41.7739004, -87.76225079999999
Trino's Pizza, OPERATIONAL, 2001 West 35th Street, Chicago, 1, 3.6, 111, 41.8302175, -87.6754364
QUERICOZON, OPERATIONAL, 1940 South Cicero Avenue, Cicero, Price information not available, 4.6, 321, 41.8534315, -87.7446341
Carnitas Don Pedro, OPERATIONAL, 1113 West 18th Street, Chicago, 2, 4.5, 1790, 41.8577275, -87.6538356
Sugar milk cafe, OPERATIONAL, 2219 West Lake Street, Melrose Park, Price information not available, 4.2, 81, 41.8945214, -87.86137839999999
Dunkin', OPERATIONAL, 10340 South Harlem Avenue, Palos Hills, 1, 3.8, 387, 41.7029604, -87.79846859999999
The Natural Branches Kitchen & Restaurant, CLOSED_TEMPORARILY, 5933 West North Avenue, Chicago, 2, 5, 32, 41.90911369999999, -87.77461009999999
Harry Caray's Italian Steakhouse, OPERATIONAL, 33 West Kinzie Street, Chicago, 3, 4.6, 3281, 41.8891009, -87.6293401
McGee's Tavern & Grille, OPERATIONAL, 950 West Webster Avenue, Chicago, 1, 4, 590, 41.92185, -87.6529229
Subway, OPERATIONAL, 4316 South Ashland Avenue Space #4, Chicago, 1, 3.7, 142, 41.81531520000001, -87.6656075
Cisneros Sippy Shack, OPERATIONAL, 3500 West 59th Street, Chicago, Price information not available, 5, 6, 41.786285, -87.710867
Orion Restaurant, OPERATIONAL, 5772 South Archer Avenue, Chicago, 1, 4.5, 240, 41.7966346, -87.7574005
FIRE & GRILL, CLOSED_TEMPORARILY, 10000 West Grand Avenue, Franklin Park, 2, 4.7, 157, 41.9301875, -87.87541120000002
Rickette’ s World Famous, CLOSED_TEMPORARILY, 8601 South Stony Island Avenue, Chicago, 2, 3.9, 228, 41.7386038, -87.58495909999999
Jamaican Jerk King, OPERATIONAL, 206 East 35th Street, Chicago, 2, 3.7, 598, 41.83120859999999, -87.62146279999999
Budacki's Drive In, OPERATIONAL, 4739 North Damen Avenue, Chicago, 1, 4.7, 820, 41.96814, -87.678958
Morgan Street Cafe, OPERATIONAL, 111 South Morgan Street, Chicago, 1, 4.1, 224, 41.8793577, -87.65156189999999
Rootstock Wine & Beer Bar, OPERATIONAL, 954 North California Avenue, Chicago, 2, 4.8, 428, 41.89904339999999, -87.69705619999999
T and K African Kitchen, OPERATIONAL, 2955 East 87th Street, Chicago, Price information not available, 3.7, 55, 41.73723140000001, -87.5520186
Subway, OPERATIONAL, 4032 West 26th Street, Chicago, 1, 3.7, 202, 41.8444203, -87.7258765
D'Nuez - Mexican Fusion Restaurant - Archer, OPERATIONAL, 4125 South Archer Avenue, Chicago, 2, 3.8, 1114, 41.8183983, -87.6967346
Jersey Mike's Subs, OPERATIONAL, 6153 North Broadway, Chicago, 1, 4.2, 72, 41.99380439999999, -87.66014369999999
La Notte Ristorante Italiano, OPERATIONAL, 1120 Pleasant Street, Oak Park, 2, 4.4, 242, 41.8855553, -87.8029139
Farmer's Fridge, OPERATIONAL, Located in the basement Vendateria, 3151 West Harrison Street, Chicago, Price information not available, No rating, No ratings, 41.873544, -87.705269
Hoots at the Fields, OPERATIONAL, 4059 West Diversey Avenue, Chicago, 2, 3.9, 254, 41.9315345, -87.7290605
Starbucks, OPERATIONAL, 3232 West Foster Avenue, Chicago, 2, 4.2, 400, 41.97583899999999, -87.710039
El Azteca Mexican Restaurant, OPERATIONAL, 5011 West Fullerton Avenue, Chicago, 1, 4.4, 374, 41.9239559, -87.751753
Hot Chi Chicken & Cones, OPERATIONAL, 100 West 87th Street STE B4, Chicago, 1, 3.9, 498, 41.7365184, -87.6270117
To Go, OPERATIONAL, 2751 West Peterson Avenue, Chicago, Price information not available, No rating, No ratings, 41.9901792, -87.69899679999999
Red Lobster, OPERATIONAL, 9500 Southwest Highway, Oak Lawn, 2, 4, 3798, 41.718982, -87.769779
South Kawa Japanese Restaurant, OPERATIONAL, 3417 South Halsted Street, Chicago, 2, 4.6, 452, 41.8319903, -87.64599249999999
D'Fruta La Vida, OPERATIONAL, 3739 West Fullerton Avenue, Chicago, 2, 4.4, 487, 41.9243356, -87.7209546
Roque's Pizza, OPERATIONAL, 5337 West Belmont Avenue, Chicago, 1, 4.5, 15, 41.9383729, -87.76053449999999
Protein Bar & Kitchen, OPERATIONAL, 2040 York Road, Oak Brook, 2, 4.5, 401, 41.8493404, -87.93008019999999
Subway, OPERATIONAL, 3207 West Diversey Avenue, Chicago, 1, 2.6, 113, 41.9317495, -87.7077601
Starbucks, OPERATIONAL, 6 West 47th Street, Western Springs, 2, 4.3, 256, 41.804982, -87.8892688
Best Submarine, OPERATIONAL, 2729 West Division Street, Chicago, 1, 4.3, 78, 41.9026803, -87.6955942
Tattoo My Shirt, OPERATIONAL, 1623 West Fulton Street, Chicago, Price information not available, No rating, No ratings, 41.8866995, -87.6676492
Skylight Chinese, OPERATIONAL, 11500 South Halsted Street, Chicago, Price information not available, 5, 1, 41.68477590000001, -87.6426073
Polish Gyros, OPERATIONAL, 3501 South Western Boulevard, Chicago, Price information not available, 5, 8, 41.83019479999999, -87.68426989999999
The Reservoir, OPERATIONAL, 844 West Montrose Avenue, Chicago, 2, 4.4, 709, 41.96208469999999, -87.6517652
Village Pub North Riverside, OPERATIONAL, 8839 Cermak Road, North Riverside, 2, 4.6, 474, 41.8494573, -87.84424419999999
The Original Pancake House, OPERATIONAL, 942 LaGrange Road, La Grange, 2, 4.3, 704, 41.7962206, -87.86931779999999
Victor Bueno, OPERATIONAL, 2057 West Cermak Road, Chicago, 1, 4.6, 390, 41.8520263, -87.6780361
To Go, OPERATIONAL, 825 South Mannheim Road, Westchester, Price information not available, 5, 1, 41.8674937, -87.8822624
Wok! You Want, OPERATIONAL, 3051 North California Avenue, Chicago, 2, 4.5, 165, 41.9372738, -87.69743319999999
Rozana Restaurant New Management 2024, OPERATIONAL, 6120 North Lincoln Avenue, Chicago, 1, 4.2, 214, 41.9931761, -87.7122471
McDonald's, OPERATIONAL, 5360 Touhy Avenue, Skokie, 1, 3.7, 2030, 42.0124211, -87.76223569999999
Dunkin', OPERATIONAL, 1798 Elmhurst Road, Mount Prospect, 1, 3.2, 10, 42.0304026, -87.9411899
Dunkin', CLOSED_TEMPORARILY, 3843 North Cicero Avenue, Chicago, 1, 4.1, 134, 41.95102409999999, -87.746939
Dunkin', OPERATIONAL, 1943 West Monterey Avenue, Chicago, 1, 3.3, 7, 41.6918423, -87.6701569
El Futbolito #2, OPERATIONAL, 3554 West 26th Street, Chicago, Price information not available, No rating, No ratings, 41.8444874, -87.7144776
Huck Finn Restaurant, OPERATIONAL, 10501 South Cicero Avenue, Oak Lawn, 2, 4.3, 3880, 41.7015111, -87.73953399999999
Turquoise Cafe & Restaurant, OPERATIONAL, 2147 West Roscoe Street, Chicago, 2, 4.6, 1766, 41.9430175, -87.6827062
Flip Pizza, OPERATIONAL, 1734 East 71st Street #B, Chicago, 1, 4.2, 6, 41.7662524, -87.5821337
Machos Tacos & Wings, OPERATIONAL, 5663 West Grand Avenue, Chicago, Price information not available, 4.8, 59, 41.9189876, -87.7680731
Bonchon Skokie, OPERATIONAL, 5237 West Touhy Avenue #7, Skokie, 2, 4.1, 345, 42.0115504, -87.7591168
Sushi Para M, CLOSED_TEMPORARILY, 1633 North Milwaukee Avenue, Chicago, 2, 4, 802, 41.9111499, -87.67842639999999
4 Hermanos Mexican Grill, OPERATIONAL, 6145 West Touhy Avenue, Chicago, 2, 4.2, 264, 42.01174479999999, -87.78107949999999
Wild Ginger, OPERATIONAL, 44 South Washington Street, Hinsdale, 2, 4.3, 220, 41.8021014, -87.92957779999999
Lou Malnati's Pizzeria, OPERATIONAL, 3986 North Avondale Avenue, Chicago, 2, 4.1, 518, 41.9533552, -87.7320259
Starbucks, OPERATIONAL, 11016 South Cicero Avenue, Oak Lawn, 2, 4.1, 602, 41.6921718, -87.7404418
Isela's Tamales, OPERATIONAL, 6208 South Archer Road, Summit, Price information not available, 4.5, 105, 41.7784969, -87.8137227
Prince's Home of Chicken, CLOSED_TEMPORARILY, 3626 West Chicago Avenue, Chicago, Price information not available, No rating, No ratings, 41.8956552, -87.71734590000001
Hing Kee, OPERATIONAL, 2140 South Archer Avenue, Chicago, 1, 4.1, 1383, 41.8539711, -87.63381419999999
Blufish Sushi Bistro, OPERATIONAL, 550 West Touhy Avenue, Park Ridge, 2, 4.6, 984, 42.0113581, -87.83083420000001
Cervantino's Authentic Mexican Restaurant #2, OPERATIONAL, 12778 South Harlem Avenue, Palos Heights, 2, 4.8, 63, 41.6590923, -87.7967558
Czech Kitchens, OPERATIONAL, 6733 West Pershing Road, Stickney, 2, 4.6, 84, 41.8212073, -87.79180389999999
VISITA MARAVATIO RESTAURANTE, OPERATIONAL, 1623 West 43rd Street, Chicago, Price information not available, 4.3, 85, 41.8156956, -87.6661231
Hecho en Oak Park, OPERATIONAL, 1053 Lake Street, Oak Park, 1, 4.3, 586, 41.88841459999999, -87.8021145
Mariscos San Pedro, OPERATIONAL, 1227 West 18th Street, Chicago, Price information not available, 4.6, 139, 41.85783239999999, -87.6575108
Hailey's Hoagies, CLOSED_TEMPORARILY, 1055 West 63rd Street, Chicago, Price information not available, 4.2, 243, 41.7795143, -87.6518139
Breakfast House, OPERATIONAL, 3001 North Ashland Avenue, Chicago, 2, 4.6, 482, 41.9361711, -87.6681863
Greek Islands, OPERATIONAL, 200 South Halsted Street, Chicago, 2, 4.6, 5453, 41.8790063, -87.6475439
Sushi House - Westmont, OPERATIONAL, 830 East Ogden Avenue, Westmont, 2, 4.3, 263, 41.8116667, -87.9497222
NYFC Restaurant & Fresh Market, OPERATIONAL, 2748 West Madison Street, Chicago, 1, 3.6, 36, 41.8814349, -87.6959205
Weather Mark Tavern, OPERATIONAL, 1503 South Michigan Avenue, Chicago, 2, 4.2, 897, 41.8618972, -87.623824
TIM TIM'S HALAL GRILL, OPERATIONAL, 4148 West Montrose Avenue, Chicago, 1, 4.5, 497, 41.9610734, -87.73187689999999
Peruvian Cuisine, OPERATIONAL, 8625 West 95th Street, Hickory Hills, Price information not available, 4.2, 47, 41.71750100000001, -87.8332278
Wildfire, OPERATIONAL, 232 Oakbrook Center, Oak Brook, 3, 4.4, 2808, 41.849261, -87.9505559
Billy Goat Tavern (The Original), OPERATIONAL, Lower 430 North, Michigan Avenue, Chicago, 1, 4.5, 4726, 41.8903294, -87.6246338
Four Shadows, OPERATIONAL, 2758 North Ashland Avenue, Chicago, Price information not available, 4.5, 212, 41.932283, -87.66874399999999
McDonald's, OPERATIONAL, 3615 West Irving Park Road, Chicago, 1, 3.8, 1859, 41.9535451, -87.7182267
SoJu BBQ, OPERATIONAL, 36 South Ashland Avenue, Chicago, 2, 4.3, 633, 41.8804776, -87.6670036
Jimmy John's, OPERATIONAL, 974 West 35th Place, Chicago, 1, 3.8, 163, 41.8297792, -87.6507755
Fitz's Pub, OPERATIONAL, 172 North Addison Avenue, Elmhurst, 1, 4.2, 537, 41.9025848, -87.9418306
Cauli Me Krazy, OPERATIONAL, 3517 North Spaulding Avenue, Chicago, 1, No rating, No ratings, 41.9455448, -87.7095432
Best Subs, OPERATIONAL, United States, Price information not available, No rating, No ratings, 41.865572, -87.77369329999999
S.K.Y., OPERATIONAL, 1239 West 18th Street, Chicago, 3, 4.6, 1161, 41.8578178, -87.657778
Deleite Mexican food, OPERATIONAL, 1658 West Cermak Road, Chicago, Price information not available, 5, 2, 41.8525223, -87.66833989999999
Jay Empire Food, OPERATIONAL, United States, Price information not available, No rating, No ratings, 41.79561030000001, -87.6648063
Taco Bell, OPERATIONAL, 13745 South Cicero Avenue, Crestwood, 1, 3.6, 778, 41.64277139999999, -87.7373368
Little Caesars Pizza, OPERATIONAL, 6940 South Ashland Avenue, Chicago, 1, 2.7, 47, 41.76724249999999, -87.66481460000001
Longitude 87, OPERATIONAL, 2100 Spring Road, Oak Brook, Price information not available, 4.5, 4, 41.850224, -87.9489892
